id,title,category,aliasList,positionList,url
856,Mitfahrbank (Campus Nord): Südtor,facility,['mitfahrbank-cn'],"['49.09126', '8.42776']",
857,Stab und Strategie (STS),facility,[],"['49.01029', '8.41182']",https://www.sts.kit.edu/
858,Technik-Haus,facility,[],"['49.09260', '8.43165']",https://www.tec.kit.edu/index.php
859,70.01,building,[],"['49.02105', '8.43177']",
862,Archiv für Architektur und Ingenieurbau (saai),institute,[],"['49.00927', '8.41509']",https://www.saai.kit.edu/index.php
863,"Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für",institute,[],"['49.01602', '8.42067']",https://www.iam.kit.edu/et/index.php
864,"Beschleunigerphysik und Technologie (IBPT) - Direktor/Verwaltung, Institut für",institute,[],"['49.09613', '8.42886']",https://www.ibpt.kit.edu/index.php
865,"Beschleunigerphysik und Technologie (IBPT) - Büros, Institut für",institute,[],"['49.09638', '8.42966']",https://www.ibpt.kit.edu/index.php
866,5252,building,[],"['49.09171', '8.43308']",
867,1600,building,[],"['49.11186', '8.43739']",
870,229,building,[],"['49.09148', '8.43178']",
871,01.95,building,[],"['49.00903', '8.41213']",
872,10.22 - LAZ,building,[],"['49.00941', '8.41389']",
873,50.28 - InformatiKOM II,building,[],"['49.01057', '8.41924']",
874,50.19 - InformatiKOM I,building,[],"['49.01137', '8.41882']",
875,Kleiner Hörsaal Bauingenieure (10.50),lecturehall,[],"['49.00972', '8.41689']",
876,Chemie-Hörsaal II (30.41),lecturehall,[],"['49.01241', '8.41389']",
877,Chemie-Hörsaal III (30.41),lecturehall,[],"['49.01241', '8.41384']",
878,Mittlerer Hörsaal Maschinenbau (10.91),lecturehall,[],"['49.00996', '8.41291']",
879,Physik-Hörsaal Nr. 4 (30.22),lecturehall,[],"['49.01245', '8.41066']",
880,Fritz-Haller-Hörsaal (20.40),lecturehall,[],"['49.01104', '8.41090']",
881,Neuer Hörsaal Architektur (20.40),lecturehall,[],"['49.01098', '8.41091']",
882,Neuer Hörsaal Chemie (30.46),lecturehall,[],"['49.01183', '8.41388']",
883,Engler-Bunte-Hörsaal (40.50),lecturehall,[],"['49.01401', '8.41431']",
884,Bauingenieure-Hörsaal (50.31),lecturehall,[],"['49.01414', '8.42099']",
885,Hörsaal 101 (10.50),lecturehall,[],"['49.00968', '8.41689']",
886,Hörsaal 102 (10.50),lecturehall,[],"['49.00969', '8.41687']",
887,508,building,[],"['49.09876', '8.43137']",
888,665,building,[],"['49.10050', '8.43674']",
889,666,building,[],"['49.10046', '8.43690']",
890,667,building,[],"['49.10044', '8.43707']",
891,668,building,[],"['49.10026', '8.43675']",
892,669,building,[],"['49.10022', '8.43704']",
893,Energy Lab,building,['elab'],"['49.09934', '8.43641']",https://www.elab.kit.edu
894,Institut für Wirtschaftsinformatik (WIN),institute,[],"['49.00896', '8.40931']",https://www.win.kit.edu/index.php
895,KinderUniversum,facility,[],"['49.01016', '8.41964']",
896,214,building,[],"['49.09085', '8.43021']",
