id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
339,439,,"['49.09409', '8.43590']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,439,
340,441,,"['49.09590', '8.43195']",,,,Weingartener Straße 441,76344.0,Leopoldshafen,,,,441,
341,442,,"['49.09589', '8.43237']",,,,Weingartener Straße 442,76344.0,Leopoldshafen,,,,442,
342,443,,"['49.09505', '8.43385']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,443,
343,444,,"['49.09421', '8.43485']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,444,
344,445,,"['49.09575', '8.43372']",,,,Weingartener Straße 449,76344.0,Leopoldshafen,,,,445,
345,446,,"['49.09434', '8.43605']",,Turm,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,446,
346,447,,"['49.09502', '8.43385']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,447,
347,448,,"['49.09452', '8.43666']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,448,
348,450,,"['49.09521', '8.43489']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,450,
349,451,,"['49.09554', '8.43457']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,451,
350,452,,"['49.09534', '8.43568']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,452,
351,453,,"['49.09533', '8.43658']",,,GODZILLA Test-Facility Beryllide-Production,Weingartener Straße,76344.0,Leopoldshafen,,,,453,
352,454,,"['49.09511', '8.43628']",,,GODZILLA Test-Facility Beryllide-Production,Weingartener Straße,76344.0,Leopoldshafen,,,,454,
353,456,,"['49.09536', '8.43621']",,,GODZILLA Test-Facility Beryllide-Production,Weingartener Straße,76344.0,Leopoldshafen,,,,456,
354,458,,"['49.09517', '8.43674']",,,GODZILLA Test-Facility Beryllide-Production,Weingartener Straße,76344.0,Leopoldshafen,,,,458,
355,459,,"['49.09500', '8.43640']",,Unternehmen,Karlsruher Beryllium Handling Facility,Weingartener Straße,76344.0,Leopoldshafen,,,,459,
356,460,,"['49.09582', '8.43599']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,460,
357,461,,"['49.09568', '8.43643']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,461,
358,462,,"['49.09582', '8.43635']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,462,
359,464,,"['49.09553', '8.43643']",,,GODZILLA Test-Facility Beryllide-Production,Weingartener Straße,76344.0,Leopoldshafen,,,,464,
360,500,,"['49.09820', '8.42690']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,500,
361,510,,"['49.09796', '8.42789']",,Service,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,510,
362,511,,"['49.09769', '8.42716']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,511,
363,512,,"['49.09858', '8.42767']",,Service,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,512,
364,513,,"['49.09889', '8.42735']",,Service,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,513,
365,514,,"['49.09904', '8.42685']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,514,
366,515,,"['49.09864', '8.42673']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,515,
367,516,,"['49.09874', '8.42807']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,516,
368,517,,"['49.09833', '8.42662']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,517,
369,518,,"['49.09792', '8.42698']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,518,
370,519,,"['49.09772', '8.42894']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,519,
371,521,,"['49.09839', '8.43092']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,521,
372,522,,"['49.09873', '8.43113']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,522,
373,523,,"['49.09885', '8.43061']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,523,
374,526,,"['49.09779', '8.43037']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,526,
375,527,,"['49.09864', '8.43008']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,527,
376,528,,"['49.09837', '8.42898']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,528,
377,532,,"['49.09899', '8.42796']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,532,
378,535,,"['49.09947', '8.42821']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,535,
379,536,,"['49.09970', '8.42721']",,Service,,Hochstetter Straße,76344.0,Leopoldshafen,,,,536,
380,541,,"['49.09932', '8.43138']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,541,
381,542,,"['49.09936', '8.43100']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,542,
382,544,,"['49.09986', '8.43156']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,544,
383,545,,"['49.09978', '8.43055']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,545,
384,546,,"['49.10014', '8.43101']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,546,
385,547,,"['49.10026', '8.43040']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,547,
386,548,,"['49.10065', '8.43067']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,548,
387,549,,"['49.09959', '8.43003']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,549,
388,551,,"['49.09972', '8.42927']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,551,
389,553,,"['49.10038', '8.42969']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,553,
390,556,,"['49.10088', '8.43074']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,556,
391,559,,"['49.10104', '8.42978']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,559,
392,560,,"['49.10098', '8.43025']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,560,
393,561,,"['49.10005', '8.42877']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,561,
394,562,,"['49.10081', '8.42957']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,562,
395,563,,"['49.10012', '8.42834']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,563,
396,570,,"['49.10042', '8.42868']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,570,
397,571,,"['49.10083', '8.42881']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,571,
398,572,,"['49.10052', '8.42835']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,572,
399,573,,"['49.10057', '8.42793']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,573,
400,574,,"['49.10087', '8.42806']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,574,
401,575,,"['49.10114', '8.42769']",,,,,,,,,,575,
402,576,,"['49.10021', '8.42934']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,576,
403,577,,"['49.10063', '8.42949']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,577,
404,580,,"['49.09953', '8.43034']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,580,
405,581,,"['49.09942', '8.43029']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,581,
